Incident_ID,Text_ID,Source,Raw_Text,Sentiment,Sentiment_Score,Entities,Topic
TXT-001,429129916446031872,Kaggle CrimeReport,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Poli",NEGATIVE,0.9902,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-002,429117247307923456,Kaggle CrimeReport,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacl,NEGATIVE,0.9781,People: N/A; Locations: N/A; Organizations: Word Tabernacle Church; Dates: Monday,other
TXT-003,429315798893461505,Kaggle CrimeReport,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes,NEGATIVE,0.9972,People: N/A; Locations: Chicago; Organizations: N/A; Dates: N/A,other
TXT-004,429079910091476992,Kaggle CrimeReport,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96j,NEGATIVE,0.9976,People: N/A; Locations: N/A; Organizations: New NRA Advice; Dates: N/A,other
TXT-005,429030956888899584,Kaggle CrimeReport,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and m",NEGATIVE,0.9845,People: N/A; Locations: N/A; Organizations: FGM; Dates: N/A,other
TXT-006,429152645702352896,Kaggle CrimeReport,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/",NEGATIVE,0.997,People: N/A; Locations: N/A; Organizations: N/A; Dates: Today,other
TXT-007,429016075921940481,Kaggle CrimeReport,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfu",NEGATIVE,0.9947,"People: N/A; Locations: N/A; Organizations: Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl; Dates: N/A",other
TXT-008,428898232690044928,Kaggle CrimeReport,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. ",NEGATIVE,0.9962,People: N/A; Locations: Pakistan; Organizations: N/A; Dates: N/A,other
TXT-009,428956892602191873,Kaggle CrimeReport,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ,NEGATIVE,0.9985,People: N/A; Locations: N/A; Organizations: Crime Scene; Dates: N/A,other
TXT-010,429111068368326656,Kaggle CrimeReport,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimor,POSITIVE,0.9884,People: Commish Batts; @baltimoresun http://t.co/A0TRUflAYl; Locations: Baltimore; Organizations: N/A; Dates: N/A,other
TXT-011,429167217976958976,Kaggle CrimeReport,Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated raids in Redbridg,NEGATIVE,0.9957,People: Redbridge; Locations: N/A; Organizations: N/A; Dates: N/A,theft
TXT-012,429379822314614785,Kaggle CrimeReport,#NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1,NEGATIVE,0.9987,People: NRAadvice; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-013,429235096919359488,Kaggle CrimeReport,#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon Cornwall,NEGATIVE,0.8688,People: Devon Cornwall; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-014,428986795586383872,Kaggle CrimeReport,BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,NEGATIVE,0.9638,People: N/A; Locations: N/A; Organizations: Badger Guns; Dates: N/A,other
TXT-015,429238790310203392,Kaggle CrimeReport,Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ2Obw1k via @Ma,NEGATIVE,0.995,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-016,429509723516194817,Kaggle CrimeReport,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported ra,NEGATIVE,0.999,People: N/A; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-017,429509617756811264,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-018,429509135437017089,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-019,429509033045659648,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-020,429508763708817408,Kaggle CrimeReport,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around c,NEGATIVE,0.9978,People: N/A; Locations: N/A; Organizations: RT @CherryFlavoredd: Cause; Dates: N/A,other
