Incident_ID,Image_ID,Scene_Type,Objects_Detected,Text_Extracted,Confidence_Score
IMG-001,fire-101-_preprocessed_jpg.rf.34c87ad56fdde2e6abf2827b42c865ce,Fire,fire,none,0.91
IMG-002,fire-106-_preprocessed_jpg.rf.986a6ba61306d472dedbae010527864d,Fire,fire,none,0.92
IMG-003,fire-107-_preprocessed_jpg.rf.2466948564a885109b0807c0f296284a,Fire,fire,none,0.89
IMG-004,fire-13-_preprocessed_jpg.rf.f4356cf13ffccdfec787a57a646593d6,Fire,smoke,none,0.9
IMG-005,fire-131-_preprocessed_jpg.rf.27bc5bb6ac2cb59f6ede6852deb7a552,Fire,fire,none,0.76
IMG-006,fire-134-_preprocessed_jpg.rf.2913729e96ea49792b00aca74c8dd400,Fire,fire,none,0.84
IMG-007,fire-152-_preprocessed_jpg.rf.9708e6d2660929a3a68f8a92fcd61662,Fire,fire,none,0.85
IMG-008,fire-158-_preprocessed_jpg.rf.1894e30fed5d6a1d8ac0d5e114c5048c,Fire,fire,none,0.81
IMG-009,fire-176-_preprocessed_jpg.rf.66b1fac49283bfbbfa1cd2c308f61c80,Fire,fire,5 it 7a. =,0.51
IMG-010,fire-18-_preprocessed_jpg.rf.3cb10cddb19b3bb3c65b430c842e2174,Fire,fire,none,0.66
IMG-011,fire-180-_preprocessed_jpg.rf.f46681e277d141313468348488a0019c,Fire,fire,none,0.64
IMG-012,fire-184-_preprocessed_jpg.rf.4432e8ef9b7acfc7a7f4e81d2df23d5f,Unknown,none,NG 2 ae : p : z a ae Jawa ree a ul oR Le 4 eee ee See ee ee ae eee 4 . DG 7 Soe a 7 Pate A es G61. oer +,0.0
IMG-013,fire-187-_preprocessed_jpg.rf.4fa34f88e6f45656d64e38f9d4d25b37,Unknown,none,none,0.0
IMG-014,fire-195-_preprocessed_jpg.rf.cad16b34019a48b4f6baf3a4b3ea1fdd,Unknown,none,none,0.0
IMG-015,fire-199-_preprocessed_jpg.rf.84eb1529748b89f93caec6fe0f534f5b,Unknown,none,none,0.0
IMG-016,fire-203-_preprocessed_jpg.rf.77bbdfacf9eae1a499920766b0f5381c,Fire,fire,none,0.71
IMG-017,fire-22-_preprocessed_jpg.rf.d0a2a4e71a2c71612d1e58397d36f68d,Fire,fire,none,0.87
IMG-018,fire-227-_preprocessed_jpg.rf.5a017f1e2fb9bd043bec24017c0cdaa8,Fire,fire,none,0.65
IMG-019,fire-230-_preprocessed_jpg.rf.8092d771315c9731fa0ca16c5f09ede6,Unknown,none,none,0.0
IMG-020,fire-236-_preprocessed_jpg.rf.f08e1a90c4c876171c011be5f30cbde0,Unknown,none,none,0.0
IMG-021,fire-237-_preprocessed_jpg.rf.24fb530fb506a8687f69667a4837be25,Unknown,none,none,0.0
IMG-022,fire-257-_preprocessed_jpg.rf.78587768f964ae5057bffb56d5999f6a,Fire,fire,none,0.72
IMG-023,fire-272-_preprocessed_jpg.rf.5e091e0f1dcc7ac9a90eb5ad2a5e5b22,Fire,fire,none,0.73
IMG-024,fire-291-_preprocessed_jpg.rf.9a6bbab8d857db314506f6e4fcb8af6f,Fire,fire,none,0.66
IMG-025,fire-298-_preprocessed_jpg.rf.4fc984b5f9a6cd97edbe6cc2494954d6,Fire,fire,none,0.8
IMG-026,fire-319-_preprocessed_jpg.rf.d68acef81dcd90e1f3ab38acdca326e3,Fire,fire,none,0.86
IMG-027,fire-339-_preprocessed_jpg.rf.3e73688660952ac17b3b9afcb78ea2ec,Fire,fire,none,0.65
IMG-028,fire-345-_preprocessed_jpg.rf.b1b4a1b27513e12998a18724e377ee2a,Unknown,none,"ey www, Freenews Conall Ca",0.0
IMG-029,fire-350-_preprocessed_jpg.rf.1c830f5715637113322cee90f7fd29ea,Fire,fire,"a ceallieg: www, Freenems Conta",0.51
IMG-030,fire-5-_preprocessed_jpg.rf.7cbd7d7e11bd64ebaf89e74b941edf5b,Fire,fire,none,0.86
IMG-031,fire-53-_preprocessed_jpg.rf.2f02f01e56d2cd0d62c9c6f91be03684,Fire,fire,none,0.85
IMG-032,fire-61-_preprocessed_jpg.rf.80fd14e6ba3772056dbf4d32491ef1b1,Fire,fire,none,0.76
IMG-033,fire-63-_preprocessed_jpg.rf.919ce5aed3bac9547d3f182cd81efdbe,Fire,fire,none,0.52
IMG-034,fire-64-_preprocessed_jpg.rf.bd4a20d1e47a2953ef75c6728b6a1944,Fire,fire,none,0.83
IMG-035,fire-85-_preprocessed_jpg.rf.d35f514b9733f54eb280181997088cf4,Unknown,none,none,0.0
IMG-036,fire-86-_preprocessed_jpg.rf.a4fceec0d9bbe0b20a265c71bb13eaea,Unknown,none,none,0.0
IMG-037,fire-87-_preprocessed_jpg.rf.bdc33741c4a0ba26a68688abeb96b2f3,Fire,fire,none,0.48
IMG-038,fire-93-_preprocessed_jpg.rf.dc6901b0b24681548a958dd3d0b44a65,Unknown,none,none,0.0
IMG-039,fire-99-_preprocessed_jpg.rf.ab51c6a7b076a042b0605b7d15510d9c,Fire,fire,none,0.89
IMG-040,fire_preprocessed-27-_jpg.rf.215735457ec0c93d4e7b54dca76e0a0b,Fire,fire,none,0.78
IMG-041,fire_preprocessed-28-_jpg.rf.9be2b7d4e375c5d7fa84702bddc4ab99,Fire,fire,none,0.67
IMG-042,fire_preprocessed-4-_jpg.rf.4dfa07eda14a04d1d0fa831f3c3eda70,Fire,fire,none,0.71
IMG-043,light-101-_preprocessed_jpg.rf.2de75d3132fe62f2995d010af9a4a0cc,Fire,light,none,0.8
IMG-044,light-102-_preprocessed_jpg.rf.c272bff3179098184157b21c6a039fde,Unknown,none,none,0.0
IMG-045,light-300-_preprocessed_jpg.rf.ece4b8de40603cdae323ef17798a2d01,Fire,light,none,0.6
IMG-046,light-306-_preprocessed_jpg.rf.4710728e21d0891590337e8a5cfc2750,Unknown,none,none,0.0
IMG-047,light-365-_preprocessed_jpg.rf.ecf6e87971d3dc81956e84e71974ce73,Fire,light,none,0.41
IMG-048,light-387-_preprocessed_jpg.rf.cbc6975a7ed941dcd7358ac6f2daf7b9,Fire,light,none,0.43
IMG-049,light-399-_preprocessed_jpg.rf.24eea9953dd5010f4a15d33dcd479b75,Fire,"light,light",none,0.52
IMG-050,light-411-_preprocessed_jpg.rf.a36baf19f64d1a5a374e0280f9073ead,Fire,light,none,0.76
IMG-051,light-431-_preprocessed_jpg.rf.48cdedd9cad628a54244fdd60132d7e9,Fire,light,A,0.68
IMG-052,light-433-_preprocessed_jpg.rf.da8c8530c45188977d75b3977a8f7843,Fire,light,none,0.78
IMG-053,light-442-_preprocessed_jpg.rf.a9e58c3fb9c6f6a6eb9c727a9adf27e0,Fire,light,none,0.79
IMG-054,light-448-_preprocessed_jpg.rf.acef65c473acf5186413701d07afe180,Fire,light,none,0.8
IMG-055,light-452-_preprocessed_jpg.rf.c2b7b9042b9c72a93e716ce5cc1374fe,Fire,light,none,0.76
IMG-056,light-453-_preprocessed_jpg.rf.ce42498f6d2a2ce601eb257462d2bb52,Fire,light,none,0.77
IMG-057,light-454-_preprocessed_jpg.rf.9f97771ab9bb6b5403c4750ab844b10b,Fire,"light,light",none,0.6
IMG-058,light-460-_preprocessed_jpg.rf.0f65aaa708c72f344ac7d6610028201f,Fire,light,none,0.75
IMG-059,light-493-_preprocessed_jpg.rf.2d75c58185a8f0dd65c8594cfb5e2cb8,Fire,light,none,0.83
IMG-060,light-499-_preprocessed_jpg.rf.fa9f96f64913022a28df3a510136d038,Fire,light,none,0.84
IMG-061,light-511-_preprocessed_jpg.rf.41cf45e85ab7c8e73419043b494fc73c,Fire,light,none,0.76
IMG-062,light-513-_preprocessed_jpg.rf.4e9d82c914a63420099abc51a5aa6a04,Fire,light,none,0.65
IMG-063,light-514-_preprocessed_jpg.rf.b559ffd14ac0110fc57d56ff2f111ce1,Fire,light,none,0.64
IMG-064,light-524-_preprocessed_jpg.rf.db48ab94f9e93536a38863245d4c71b2,Fire,light,none,0.67
IMG-065,light-554-_preprocessed_jpg.rf.f832bbae9ea5612785059b1f3fc27afd,Fire,light,none,0.8
IMG-066,light-559-_preprocessed_jpg.rf.941d0f79f8ecf6bd543222fdf6f04093,Fire,light,none,0.74
