Incident_ID,Source,Type,Location,Confidence/Urgency_Score,Severity_Score,Severity_Level,Details
AUD-001,Audio,Fire,45 Oak Street,1.0,10.0,High,Help! There's a massive fire at 45 Oak Street. The building is burning and people are trapped inside. Please hurry.
AUD-002,Audio,Road Accident,"Highway 9, exit 12",1.0,10.0,High,I want to report a car accident on Highway 9 near exit 12. Two vehicles are involved. One driver looks injured.
AUD-003,Audio,Theft,Unknown,0.99,9.9,High,Someone just broke into the convenience store on Main Street. I saw two men running away with bags. They went north.
AUD-004,Audio,Public Disturbance,Central Park,1.0,10.0,High,There's a large fight outside Central Park near the fountain. About 10 people are involved. It's getting violent.
AUD-005,Audio,Road Accident,Unknown,0.99,9.9,High,I think I saw a suspicious person near the school on El Mavano. They were looking into car windows for about 20 minutes.
IMG-001,Image,Fire,N/A,0.91,9.1,High,fire | OCR: none
IMG-002,Image,Fire,N/A,0.92,9.2,High,fire | OCR: none
IMG-003,Image,Fire,N/A,0.89,8.9,High,fire | OCR: none
IMG-004,Image,Fire,N/A,0.9,9.0,High,smoke | OCR: none
IMG-005,Image,Fire,N/A,0.76,7.6,High,fire | OCR: none
IMG-006,Image,Fire,N/A,0.84,8.4,High,fire | OCR: none
IMG-007,Image,Fire,N/A,0.85,8.5,High,fire | OCR: none
IMG-008,Image,Fire,N/A,0.81,8.1,High,fire | OCR: none
IMG-009,Image,Fire,N/A,0.51,5.1,Medium,fire | OCR: 5 it 7a. =
IMG-010,Image,Fire,N/A,0.66,6.6,Medium,fire | OCR: none
IMG-011,Image,Fire,N/A,0.64,6.4,Medium,fire | OCR: none
IMG-012,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: NG 2 ae : p : z a ae Jawa ree a ul oR Le 4 eee ee See ee ee ae eee 4 . DG 7 Soe a 7 Pate A es G61. oer +
IMG-013,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-014,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-015,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-016,Image,Fire,N/A,0.71,7.1,High,fire | OCR: none
IMG-017,Image,Fire,N/A,0.87,8.7,High,fire | OCR: none
IMG-018,Image,Fire,N/A,0.65,6.5,Medium,fire | OCR: none
IMG-019,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-020,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-021,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-022,Image,Fire,N/A,0.72,7.2,High,fire | OCR: none
IMG-023,Image,Fire,N/A,0.73,7.3,High,fire | OCR: none
IMG-024,Image,Fire,N/A,0.66,6.6,Medium,fire | OCR: none
IMG-025,Image,Fire,N/A,0.8,8.0,High,fire | OCR: none
IMG-026,Image,Fire,N/A,0.86,8.6,High,fire | OCR: none
IMG-027,Image,Fire,N/A,0.65,6.5,Medium,fire | OCR: none
IMG-028,Image,Unknown,N/A,0.0,0.0,Low,"none | OCR: ey www, Freenews Conall Ca"
IMG-029,Image,Fire,N/A,0.51,5.1,Medium,"fire | OCR: a ceallieg: www, Freenems Conta"
IMG-030,Image,Fire,N/A,0.86,8.6,High,fire | OCR: none
IMG-031,Image,Fire,N/A,0.85,8.5,High,fire | OCR: none
IMG-032,Image,Fire,N/A,0.76,7.6,High,fire | OCR: none
IMG-033,Image,Fire,N/A,0.52,5.2,Medium,fire | OCR: none
IMG-034,Image,Fire,N/A,0.83,8.3,High,fire | OCR: none
IMG-035,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-036,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-037,Image,Fire,N/A,0.48,4.8,Medium,fire | OCR: none
IMG-038,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-039,Image,Fire,N/A,0.89,8.9,High,fire | OCR: none
IMG-040,Image,Fire,N/A,0.78,7.8,High,fire | OCR: none
IMG-041,Image,Fire,N/A,0.67,6.7,Medium,fire | OCR: none
IMG-042,Image,Fire,N/A,0.71,7.1,High,fire | OCR: none
IMG-043,Image,Fire,N/A,0.8,8.0,High,light | OCR: none
IMG-044,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-045,Image,Fire,N/A,0.6,6.0,Medium,light | OCR: none
IMG-046,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-047,Image,Fire,N/A,0.41,4.1,Medium,light | OCR: none
IMG-048,Image,Fire,N/A,0.43,4.3,Medium,light | OCR: none
IMG-049,Image,Fire,N/A,0.52,5.2,Medium,"light,light | OCR: none"
IMG-050,Image,Fire,N/A,0.76,7.6,High,light | OCR: none
IMG-051,Image,Fire,N/A,0.68,6.8,Medium,light | OCR: A
IMG-052,Image,Fire,N/A,0.78,7.8,High,light | OCR: none
IMG-053,Image,Fire,N/A,0.79,7.9,High,light | OCR: none
IMG-054,Image,Fire,N/A,0.8,8.0,High,light | OCR: none
IMG-055,Image,Fire,N/A,0.76,7.6,High,light | OCR: none
IMG-056,Image,Fire,N/A,0.77,7.7,High,light | OCR: none
IMG-057,Image,Fire,N/A,0.6,6.0,Medium,"light,light | OCR: none"
IMG-058,Image,Fire,N/A,0.75,7.5,High,light | OCR: none
IMG-059,Image,Fire,N/A,0.83,8.3,High,light | OCR: none
IMG-060,Image,Fire,N/A,0.84,8.4,High,light | OCR: none
IMG-061,Image,Fire,N/A,0.76,7.6,High,light | OCR: none
IMG-062,Image,Fire,N/A,0.65,6.5,Medium,light | OCR: none
IMG-063,Image,Fire,N/A,0.64,6.4,Medium,light | OCR: none
IMG-064,Image,Fire,N/A,0.67,6.7,Medium,light | OCR: none
IMG-065,Image,Fire,N/A,0.8,8.0,High,light | OCR: none
IMG-066,Image,Fire,N/A,0.74,7.4,High,light | OCR: none
IMG-067,Image,Fire,N/A,0.75,7.5,High,light | OCR: none
IMG-068,Image,Fire,N/A,0.79,7.9,High,light | OCR: none
IMG-069,Image,Fire,N/A,0.82,8.2,High,light | OCR: none
IMG-070,Image,Fire,N/A,0.85,8.5,High,light | OCR: none
IMG-071,Image,Fire,N/A,0.73,7.3,High,light | OCR: none
IMG-072,Image,No Fire Detected,N/A,0.78,7.8,High,no-fire | OCR: none
IMG-073,Image,No Fire Detected,N/A,0.6,6.0,Medium,no-fire | OCR: none
IMG-074,Image,No Fire Detected,N/A,0.88,8.8,High,no-fire | OCR: none
IMG-075,Image,No Fire Detected,N/A,0.86,8.6,High,no-fire | OCR: none
IMG-076,Image,No Fire Detected,N/A,0.85,8.5,High,no-fire | OCR: none
IMG-077,Image,No Fire Detected,N/A,0.69,6.9,Medium,no-fire | OCR: none
IMG-078,Image,No Fire Detected,N/A,0.44,4.4,Medium,no-fire | OCR: none
IMG-079,Image,No Fire Detected,N/A,0.86,8.6,High,"no-fire | OCR: 1 OR ah CO ont, s reg: F: ee ee Lie"
IMG-080,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-081,Image,No Fire Detected,N/A,0.9,9.0,High,no-fire | OCR: none
IMG-082,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-083,Image,No Fire Detected,N/A,0.9,9.0,High,no-fire | OCR: none
IMG-084,Image,No Fire Detected,N/A,0.9,9.0,High,no-fire | OCR: none
IMG-085,Image,No Fire Detected,N/A,0.93,9.3,High,no-fire | OCR: none
IMG-086,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-087,Image,No Fire Detected,N/A,0.92,9.2,High,no-fire | OCR: Pinel
IMG-088,Image,No Fire Detected,N/A,0.89,8.9,High,no-fire | OCR: none
IMG-089,Image,No Fire Detected,N/A,0.43,4.3,Medium,no-fire | OCR: none
IMG-090,Image,No Fire Detected,N/A,0.89,8.9,High,no-fire | OCR: none
IMG-091,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-092,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-093,Image,No Fire Detected,N/A,0.91,9.1,High,no-fire | OCR: none
IMG-094,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-095,Image,No Fire Detected,N/A,0.5,5.0,Medium,no-fire | OCR: none
IMG-096,Image,No Fire Detected,N/A,0.5,5.0,Medium,no-fire | OCR: none
IMG-097,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-098,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-099,Image,No Fire Detected,N/A,0.62,6.2,Medium,no-fire | OCR: none
IMG-100,Image,No Fire Detected,N/A,0.45,4.5,Medium,no-fire | OCR: none
IMG-101,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-102,Image,No Fire Detected,N/A,0.62,6.2,Medium,no-fire | OCR: none
IMG-103,Image,No Fire Detected,N/A,0.75,7.5,High,no-fire | OCR: |
IMG-104,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-105,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-106,Image,No Fire Detected,N/A,0.84,8.4,High,no-fire | OCR: none
IMG-107,Image,No Fire Detected,N/A,0.76,7.6,High,no-fire | OCR: none
IMG-108,Image,No Fire Detected,N/A,0.78,7.8,High,no-fire | OCR: none
IMG-109,Image,No Fire Detected,N/A,0.78,7.8,High,no-fire | OCR: none
IMG-110,Image,No Fire Detected,N/A,0.74,7.4,High,no-fire | OCR: none
IMG-111,Image,No Fire Detected,N/A,0.53,5.3,Medium,no-fire | OCR: none
IMG-112,Image,No Fire Detected,N/A,0.49,4.9,Medium,no-fire | OCR: none
IMG-113,Image,Fire,N/A,0.78,7.8,High,smoke | OCR: g-20 EHq 15:56:47
IMG-114,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-115,Image,Fire,N/A,0.76,7.6,High,smoke | OCR: B28 EEA 15:56:49 TETTVTTTITTE
IMG-116,Image,Fire,N/A,0.87,8.7,High,smoke | OCR: B70 FEA 15:57:00
IMG-117,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-118,Image,Fire,N/A,0.84,8.4,High,smoke | OCR: B20 FAA 15:57:02 TTT
IMG-119,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-120,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-121,Image,Fire,N/A,0.54,5.4,Medium,smoke | OCR: none
IMG-122,Image,Fire,N/A,0.52,5.2,Medium,smoke | OCR: none
IMG-123,Image,Fire,N/A,0.51,5.1,Medium,smoke | OCR: none
IMG-124,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-125,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-126,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-127,Image,Fire,N/A,0.68,6.8,Medium,smoke | OCR: none
IMG-128,Image,Fire,N/A,0.59,5.9,Medium,smoke | OCR: none
IMG-129,Image,Fire,N/A,0.66,6.6,Medium,fire | OCR: none
IMG-130,Image,Fire,N/A,0.7,7.0,High,smoke | OCR: none
IMG-131,Image,Fire,N/A,0.61,6.1,Medium,smoke | OCR: none
IMG-132,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-133,Image,Unknown,N/A,0.0,0.0,Low,none | OCR: none
IMG-134,Image,Fire,N/A,0.45,4.5,Medium,smoke | OCR: none
IMG-135,Image,Fire,N/A,0.46,4.6,Medium,smoke | OCR: none
IMG-136,Image,Fire,N/A,0.66,6.6,Medium,smoke | OCR: none
IMG-137,Image,Fire,N/A,0.84,8.4,High,smoke | OCR: none
IMG-138,Image,Fire,N/A,0.91,9.1,High,smoke | OCR: none
IMG-139,Image,Fire,N/A,0.86,8.6,High,smoke | OCR: none
IMG-140,Image,Fire,N/A,0.9,9.0,High,smoke | OCR: none
IMG-141,Image,Fire,N/A,0.41,4.1,Medium,smoke | OCR: none
IMG-142,Image,Fire,N/A,0.81,8.1,High,smoke | OCR: ef SAH O7e52:55
IMG-143,Image,Fire,N/A,0.67,6.7,Medium,smoke | OCR: none
IMG-144,Image,Fire,N/A,0.78,7.8,High,fire | OCR: none
IMG-145,Image,Fire,N/A,0.77,7.7,High,smoke | OCR: none
IMG-146,Image,Fire,N/A,0.44,4.4,Medium,smoke | OCR: none
IMG-147,Image,Fire,N/A,0.86,8.6,High,smoke | OCR: BAH 3B isi
IMG-148,Image,Fire,N/A,0.73,7.3,High,smoke | OCR: Sp Mei
IMG-149,Image,Fire,N/A,0.82,8.2,High,smoke | OCR: 2017-83-28
IMG-150,Image,Fire,N/A,0.74,7.4,High,smoke | OCR: 2017-83-28
IMG-151,Image,Fire,N/A,0.83,8.3,High,smoke | OCR: 2017-03-20 EFR 16:48:43
IMG-152,Image,Fire,N/A,0.75,7.5,High,smoke | OCR: hice tr tise
IMG-153,Image,Fire,N/A,0.75,7.5,High,smoke | OCR: none
IMG-154,Image,Fire,N/A,0.61,6.1,Medium,smoke | OCR: 2017-03-20 EFA 16:48:40
VID-001,Video,Crowd Gathering,N/A,0.77,7.7,High,OneStopMoveEnter1cor_frame_60 | person
VID-002,Video,Crowd Gathering,N/A,0.72,7.2,High,OneStopMoveEnter1cor_frame_80 | person
VID-003,Video,Crowd Gathering,N/A,0.71,7.1,High,OneStopMoveEnter1cor_frame_90 | person
VID-004,Video,Crowd Gathering,N/A,0.68,6.8,Medium,"OneStopMoveEnter1cor_frame_100 | person, handbag"
VID-005,Video,Crowd Gathering,N/A,0.72,7.2,High,OneStopMoveEnter1cor_frame_110 | person
VID-006,Video,Crowd Gathering,N/A,0.72,7.2,High,OneStopMoveEnter1cor_frame_120 | person
VID-007,Video,Crowd Gathering,N/A,0.82,8.2,High,OneStopMoveEnter1cor_frame_130 | person
VID-008,Video,Crowd Gathering,N/A,0.8,8.0,High,OneStopMoveEnter1cor_frame_140 | person
VID-009,Video,Crowd Gathering,N/A,0.82,8.2,High,OneStopMoveEnter1cor_frame_150 | person
VID-010,Video,Crowd Gathering,N/A,0.77,7.7,High,OneStopMoveEnter1cor_frame_160 | person
VID-011,Video,Crowd Gathering,N/A,0.79,7.9,High,OneStopMoveEnter1cor_frame_170 | person
VID-012,Video,Crowd Gathering,N/A,0.79,7.9,High,OneStopMoveEnter1cor_frame_180 | person
VID-013,Video,Crowd Gathering,N/A,0.81,8.1,High,OneStopMoveEnter1cor_frame_190 | person
VID-014,Video,Crowd Gathering,N/A,0.82,8.2,High,OneStopMoveEnter1cor_frame_200 | person
VID-015,Video,Crowd Gathering,N/A,0.8,8.0,High,OneStopMoveEnter1cor_frame_210 | person
VID-016,Video,Crowd Gathering,N/A,0.79,7.9,High,OneStopMoveEnter1cor_frame_220 | person
VID-017,Video,Crowd Gathering,N/A,0.76,7.6,High,OneStopMoveEnter1cor_frame_230 | person
VID-018,Video,Crowd Gathering,N/A,0.76,7.6,High,OneStopMoveEnter1cor_frame_240 | person
VID-019,Video,Crowd Gathering,N/A,0.75,7.5,High,OneStopMoveEnter1cor_frame_250 | person
VID-020,Video,Crowd Gathering,N/A,0.76,7.6,High,OneStopMoveEnter1cor_frame_260 | person
VID-021,Video,Crowd Gathering,N/A,0.77,7.7,High,OneStopMoveEnter1cor_frame_270 | person
VID-022,Video,Crowd Gathering,N/A,0.78,7.8,High,OneStopMoveEnter1cor_frame_280 | person
VID-023,Video,Crowd Gathering,N/A,0.78,7.8,High,OneStopMoveEnter1cor_frame_290 | person
VID-024,Video,Crowd Gathering,N/A,0.77,7.7,High,OneStopMoveEnter1cor_frame_300 | person
VID-025,Video,Crowd Gathering,N/A,0.76,7.6,High,OneStopMoveEnter1cor_frame_310 | person
VID-026,Video,Crowd Gathering,N/A,0.67,6.7,Medium,OneStopMoveEnter1cor_frame_320 | person
VID-027,Video,Crowd Gathering,N/A,0.69,6.9,Medium,OneStopMoveEnter1cor_frame_330 | person
VID-028,Video,Crowd Gathering,N/A,0.72,7.2,High,OneStopMoveEnter1cor_frame_340 | person
VID-029,Video,Crowd Gathering,N/A,0.73,7.3,High,OneStopMoveEnter1cor_frame_350 | person
VID-030,Video,Crowd Gathering,N/A,0.7,7.0,High,"OneStopMoveEnter1cor_frame_360 | person, handbag"
VID-031,Video,Crowd Gathering,N/A,0.75,7.5,High,OneStopMoveEnter1cor_frame_370 | person
VID-032,Video,Crowd Gathering,N/A,0.81,8.1,High,OneStopMoveEnter1cor_frame_380 | person
VID-033,Video,Crowd Gathering,N/A,0.74,7.4,High,OneStopMoveEnter1cor_frame_390 | person
VID-034,Video,Crowd Gathering,N/A,0.79,7.9,High,OneStopMoveEnter1cor_frame_400 | person
VID-035,Video,Crowd Gathering,N/A,0.8,8.0,High,OneStopMoveEnter1cor_frame_410 | person
VID-036,Video,Crowd Gathering,N/A,0.74,7.4,High,OneStopMoveEnter1cor_frame_420 | person
VID-037,Video,Crowd Gathering,N/A,0.78,7.8,High,OneStopMoveEnter1cor_frame_430 | person
VID-038,Video,Crowd Gathering,N/A,0.65,6.5,Medium,OneStopMoveEnter1cor_frame_440 | person
VID-039,Video,Crowd Gathering,N/A,0.64,6.4,Medium,OneStopMoveEnter1cor_frame_450 | person
